X,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62
PHF20,-0.223875,-0.2463125,-0.1035,-0.080375,-0.184,0.020125,-0.2333125,-0.25,-0.0929375,-0.257125,-0.263125,-0.308,-0.141375,-0.20275,-0.9746,-0.74425,-0.4225625,-0.3120625,-0.1714375,-0.1235,-0.049875,-0.244375,-0.21675,-0.0561875,-0.52225,-0.14775,-0.4088125,-0.2083125,-0.3298125,-0.3726875,-0.3590625,-0.3364375,-0.4655,-0.4445625,-0.2728125,-0.469875,-0.8569375,-0.5246875,-0.53325,-0.4383125,-0.530875,-0.37275,-0.391125,-0.835,-0.3074375,-0.5206875,-0.5300625,-0.4929375,-0.3411875,-0.419875,-0.4484375,-0.7271875,-0.5245,-0.3988125,-0.718,-0.519625,-0.120875,-0.638375,-0.5956875,-0.5803125,-0.5531875,-0.5291875
ALDOC,-0.42425,-1.166,-1.6815,-0.702875,-1.079625,0.246625,-1.84225,-1.441125,-1.12975,-0.974375,-1.558,0.197,-1.13425,-1.237375,0.2605,-0.394875,-0.538625,-0.482875,-1.8435,-1.55925,1.17225,0.6885,-1.251125,-1.458625,-1.02525,-1.08275,-0.79375,-0.715625,-1.2615,-1.164,-0.578125,-0.66825,0.191625,-0.797625,-0.774875,-1.387,-0.653625,-0.981875,-1.587,-0.28825,-0.42775,-1.083125,-0.043125,0.999,-0.7865,1.346625,0.07075,-1.006375,-0.4795,-0.93125,-1.361,0.396,0.132125,-1.176625,-1.190875,1.353125,-1.361625,-0.336875,-1.97325,-1.17775,-1.5835,-0.9895
NUDT1,-1.3035,-0.693333333333333,-1.30483333333333,-1.239,-1.065,-1.082,-1.36583333333333,-0.989166666666667,-1.37816666666667,-1.19416666666667,-1.38033333333333,-1.452,-1.3525,-0.725666666666667,-1.59716666666667,-0.5575,-0.927833333333333,-1.187,-1.44433333333333,-1.49716666666667,-1.62533333333333,-1.404,-1.10183333333333,-0.973166666666667,-1.36733333333333,-0.989333333333333,-1.37266666666667,-1.784,-1.23316666666667,-1.03683333333333,-1.48766666666667,-1.10816666666667,-1.61016666666667,-1.05616666666667,-1.3665,-1.28233333333333,-1.4015,-1.147,-1.13033333333333,-1.12533333333333,-1.60533333333333,-1.11283333333333,-1.2335,-2.1205,-1.25216666666667,-1.2545,-1.566,-1.30716666666667,-1.38783333333333,-1.09083333333333,-1.153,-0.934166666666667,-1.32583333333333,-1.24166666666667,-0.915,-1.21433333333333,-1.558,-1.16783333333333,-1.437,-1.29783333333333,-1.344,-0.351166666666667
CIAO1,-1.1365,-0.58875,-1.28525,-1.36875,-1.38275,-1.05025,-1.109,-1.268,-1.31525,-1.16025,-1.062,-0.78075,-1.467,-0.88975,-0.91625,-1.76325,-1.233,-1.12725,-1.567,-1.142,-0.85575,-0.77725,-1.16075,-1.0625,-1.081,-0.91875,-1.3735,-1.54375,-1.13425,-0.9985,-1.72275,-0.927,-0.8755,-1.3705,-1.392,-1.6775,-2.23075,-1.6505,-1.36325,-1.326,-1.14575,-1.382,-1.4755,-1.94075,-1.199,-0.7585,-0.81675,-0.8265,-0.93425,-1.33025,-1.20825,-0.93775,-0.44925,-1.325,-1.28525,-0.50025,-1.14625,-0.68625,-1.97075,-1.45125,-1.52175,-0.70775
LTBP4,1.12816666666667,1.42583333333333,1.25983333333333,-0.0261666666666667,0.330333333333333,1.22633333333333,-0.115166666666667,0.64,0.382666666666667,0.575833333333333,0.682833333333333,1.44466666666667,0.701833333333333,0.1565,1.2815,-0.72,-0.232166666666667,0.748833333333333,-0.46,-0.0863333333333333,1.0655,1.22333333333333,0.0921666666666667,-0.278666666666667,0.831,0.588833333333333,0.117833333333333,1.12383333333333,0.497666666666667,0.512333333333333,0.015,2.35266666666667,0.646166666666667,0.859333333333333,0.851,-0.203,0.519666666666667,0.891333333333333,-0.130666666666667,0.316333333333333,1.15333333333333,0.913,0.413666666666667,1.51166666666667,0.259333333333333,1.11083333333333,0.949666666666667,1.296,0.860166666666667,0.266833333333333,0.4955,1.52433333333333,1.0785,0.461666666666667,0.672166666666667,1.53233333333333,0.905666666666667,1.34483333333333,-0.973166666666667,1.16416666666667,0.753166666666667,1.1935
SIRT6,-0.85125,-0.4595,-0.5685,-0.57825,-0.89075,-0.66625,-0.637,-0.6565,-0.58125,-0.74375,-0.7605,-0.81825,-0.7185,-0.48825,0.097,-0.92,-1.07975,-0.4475,-1.4235,-0.64825,-0.43025,-0.907,-0.68175,-0.8685,-0.6535,-0.673,-0.67375,-0.51675,-0.2745,-0.39075,-1.037,-0.6255,-0.647,-0.77975,-0.653,-1.172,-0.726,-0.42725,-1.30475,-0.74025,-0.6115,-0.23675,-0.72875,0.74425,-0.26675,-0.62875,-0.395,-0.606,-0.28825,-0.67425,-0.497,-0.37575,-0.747,-0.14725,-0.67125,-0.50825,-0.2235,-0.82925,-2.15475,-0.53925,-0.7605,-0.6305
MAOA,3.1305,4.711,2.516,2.4185,2.566625,4.01925,2.5625,0.809625,2.586375,3.089375,3.220125,5.131,2.500625,1.213,3.857875,4.002,3.930875,4.273,3.394,1.642125,4.46675,4.797375,2.20125,3.020875,1.686125,2.8395,2.503625,2.101625,2.316375,0.973,4.017125,4.634625,5.0025,1.979125,2.53225,2.5795,4.1255,3.7375,4.109375,3.29275,3.67025,2.50725,3.652875,0.333125,2.941125,4.285625,4.481125,4.301375,3.57325,3.143375,2.431375,5.00725,5.5045,0.41325,4.175125,4.964125,2.567125,5.217625,2.81125,3.027875,3.4245,4.852625
TNNT3,3.404,4.31316666666667,2.8135,0.464666666666667,1.914,3.15133333333333,1.599,2.2525,2.304,3.08883333333333,2.225,4.41883333333333,2.319,1.37566666666667,1.9035,1.167,3.32133333333333,3.4005,2.08066666666667,1.32766666666667,2.7695,4.10266666666667,2.8395,2.32416666666667,2.539,2.20733333333333,1.56616666666667,2.41833333333333,1.735,2.042,3.13466666666667,4.6055,2.35866666666667,1.96083333333333,2.08233333333333,1.75816666666667,2.60316666666667,4.1105,3.52183333333333,2.97566666666667,3.47733333333333,3.15116666666667,2.64616666666667,-0.210166666666667,1.2775,4.01933333333333,4.64733333333333,4.404,2.92233333333333,1.6615,0.6925,4.47266666666667,4.638,1.517,3.75366666666667,4.46333333333333,2.055,4.6535,2.44766666666667,3.46533333333333,4.00916666666667,5.3405
GYPC,0.744,1.77925,-0.05,-0.41175,0.4245,1.15825,-1.13675,-0.03975,0.0015,-0.16325,-0.37975,1.8905,-0.12975,-0.60375,-0.22675,-0.74125,0.55425,0.9645,-0.45175,-0.5145,1.4855,1.63,0.146,-0.3655,0.2215,0.633,-0.06725,0.35625,0.0085,0.204,0.106,1.82475,1.7075,-0.05825,0.46075,-0.896,0.02325,0.45325,0.098,0.26,0.966,0.891,0.75675,0.9695,0.25725,1.409,1.04675,1.1565,0.91925,0.202,-0.0955,1.87225,2.4465,0.8735,0.7435,2.16725,0.67,2.01525,-0.96325,0.8665,0.95575,1.50675
PLIN,4.4155,4.78483333333333,3.75366666666667,3.94866666666667,4.17033333333333,4.47566666666667,2.51666666666667,3.60116666666667,3.9535,4.416,3.60866666666667,5.0685,4.19983333333333,3.59516666666667,7.42766666666667,6.25483333333333,5.31833333333333,4.88083333333333,4.50933333333333,1.76583333333333,4.98116666666667,5.10633333333333,4.45566666666667,4.73616666666667,4.3515,3.85316666666667,4.19633333333333,4.89416666666667,4.36333333333333,3.618,4.90583333333333,5.11733333333333,5.2255,4.36383333333333,4.31483333333333,5.33733333333333,6.42566666666667,6.44383333333333,5.284,4.778,5.1855,4.62483333333333,5.10233333333333,-0.212,5.00366666666667,4.76416666666667,5.30016666666667,5.11266666666667,4.3215,4.57916666666667,4.321,4.91033333333333,4.97483333333333,2.48516666666667,5.443,4.722,4.1715,5.10683333333333,5.42116666666667,5.56683333333333,5.14466666666667,6.018
